fix_concat_dur
0.564000
0.392000
1.080000
0.208000
0.492000
0.428000
0.348000
0.412000
0.820000
0.420000
0.464000
0.296000
1.692000
0.884000
0.292000
0.232000
0.272000
0.200000
0.196000
0.384000
0.488000
0.404000
0.280000
0.548000
0.508000
0.612000
0.748000
0.204000
0.396000
0.340000
0.208000
0.792000
0.296000
0.276000
0.448000
0.880000
0.224000
0.544000
0.760000
2.688000
0.484000
0.748000
0.304000
0.564000
0.216000
0.416000
0.864000
0.284000
0.332000
0.244000
0.300000
0.388000
0.304000
0.432000
0.448000
0.664000
0.200000
0.396000
0.528000
0.320000
0.720000
0.216000
0.244000
0.504000
0.224000
0.376000
0.236000
0.584000
0.352000
0.424000
0.220000
0.284000
0.200000
0.252000
0.240000
0.368000
0.436000
0.248000
0.264000
0.288000
0.704000
0.308000
0.376000
0.352000
0.224000
0.224000
1.276000
0.532000
0.212000
0.292000
0.864000
0.308000
0.792000
0.556000
0.612000
0.244000
0.372000
0.264000
0.228000
0.564000
0.240000
0.252000
0.480000
0.224000
0.248000
0.592000
0.364000
0.260000
0.296000
0.484000
0.704000
0.776000
0.808000
0.472000
0.316000
