sacc_ver_dur
0.040000
0.080000
0.040000
0.048000
0.056000
0.040000
0.040000
0.044000
0.040000
0.148000
0.052000
0.056000
0.052000
0.128000
0.052000
0.072000
0.060000
0.148000
0.100000
0.040000
0.084000
0.040000
0.048000
0.036000
0.044000
0.036000
0.096000
0.036000
0.044000
0.032000
0.072000
0.104000
0.000000
0.044000
0.048000
0.048000
0.040000
0.040000
0.080000
0.048000
-0.060000
0.480000
0.032000
0.040000
0.044000
0.040000
0.104000
0.104000
0.084000
0.024000
0.032000
0.080000
0.180000
0.180000
0.040000
0.080000
0.056000
0.032000
0.032000
0.032000
