fix_ver_dur
0.080000
0.208000
0.156000
0.756000
0.504000
0.488000
0.012000
0.080000
1.148000
0.256000
1.304000
0.664000
5.116000
0.732000
0.668000
0.244000
2.352000
2.888000
2.732000
0.200000
8.612000
0.200000
1.268000
1.884000
0.020000
0.008000
2.768000
0.016000
0.596000
0.888000
0.128000
2.444000
1.396000
0.360000
1.772000
1.632000
0.020000
0.088000
2.012000
1.112000
0.512000
0.324000
0.064000
0.180000
0.016000
0.340000
0.748000
0.336000
0.692000
0.104000
0.144000
0.616000
0.528000
3.344000
3.424000
0.220000
0.436000
