fix_ver_dur
0.796000
0.552000
0.504000
0.836000
0.152000
0.720000
2.500000
1.184000
1.200000
0.828000
1.396000
0.520000
0.324000
0.052000
3.704000
1.768000
1.020000
0.764000
0.180000
0.428000
0.224000
2.172000
0.164000
0.724000
1.288000
0.360000
0.432000
0.504000
0.912000
0.956000
0.820000
0.600000
0.336000
1.364000
0.996000
2.632000
1.080000
0.568000
0.980000
0.328000
0.428000
0.008000
0.012000
0.008000
0.016000
0.024000
0.616000
0.152000
1.672000
2.192000
0.876000
0.636000
0.104000
3.852000
3.172000
0.020000
0.008000
0.076000
0.296000
0.016000
0.044000
0.144000
0.236000
0.020000
0.240000
0.248000
0.152000
0.060000
0.144000
0.180000
0.008000
0.044000
0.020000
0.448000
0.012000
0.892000
2.304000
0.288000
0.096000
0.324000
