sacc_ver_amp
0.075903
0.029724
0.060085
0.063983
0.033900
0.083412
0.059469
0.019057
0.038707
0.022781
0.027078
0.089077
0.756695
0.056088
0.086292
0.047468
0.022698
0.048614
0.026939
0.047400
0.847013
0.847013
0.000000
0.000000
0.000000
0.055998
0.026896
0.035550
0.035550
0.003821
0.025096
0.027072
0.094356
0.051879
0.218773
0.047043
0.111971
0.099849
0.134017
0.027890
0.073929
0.043510
0.023285
0.129131
0.118308
0.118308
0.047298
0.718598
0.000000
0.000000
0.057532
0.033892
0.021641
0.027882
0.039743
0.090092
0.056337
0.080696
0.034082
0.054259
0.036202
0.028785
0.027539
0.034947
0.059082
0.028581
0.041211
0.039133
0.043897
0.052204
0.027837
0.071354
0.021621
0.124159
0.035953
0.068118
0.043583
0.080790
0.092950
0.048565
0.027188
0.035100
0.036793
0.063102
0.060589
0.026956
