fix_hor_dur
0.608000
3.496000
3.236000
4.688000
1.092000
7.980000
4.372000
2.948000
0.324000
0.052000
1.708000
0.512000
1.400000
1.492000
0.604000
3.544000
6.152000
7.676000
4.272000
0.500000
5.800000
1.312000
2.696000
