blinks_dur
0.240000
0.284000
0.244000
0.328000
0.224000
0.272000
0.308000
0.348000
0.360000
0.256000
0.296000
0.340000
0.264000
0.304000
0.260000
0.320000
0.452000
0.344000
0.364000
0.224000
0.228000
0.380000
0.348000
0.340000
0.384000
0.356000
0.360000
0.384000
0.264000
0.360000
0.256000
0.288000
0.336000
0.232000
0.332000
0.308000
0.320000
0.316000
0.264000
0.340000
0.384000
0.276000
0.412000
0.368000
0.300000
0.296000
0.272000
0.276000
0.240000
0.412000
0.340000
0.328000
0.272000
0.300000
0.260000
0.292000
0.316000
0.320000
0.316000
0.408000
0.372000
0.296000
0.312000
0.224000
0.316000
0.240000
0.384000
0.228000
0.280000
0.264000
0.260000
0.308000
0.396000
0.296000
0.308000
0.340000
0.308000
0.364000
0.272000
0.332000
0.328000
0.344000
0.332000
0.292000
