sacc_ver_amp
0.100337
0.127738
0.155833
0.033029
0.051680
0.034175
0.067934
0.045239
0.027589
0.045126
0.049897
0.083006
0.122538
0.106438
0.037706
0.024141
0.035517
0.045876
0.032927
0.043520
0.049225
0.108994
0.032092
0.057794
0.039759
0.047108
0.031135
0.026350
0.046222
