sacc_hor_amp
0.175216
0.069364
0.100552
0.021020
0.126349
0.028214
0.028214
0.242846
0.070851
0.101820
0.038419
0.005595
0.034326
0.036712
0.023846
0.087532
0.052539
0.091402
0.083601
0.034928
0.046301
0.342104
0.342104
0.305017
0.041465
0.039142
0.035868
0.145553
0.025832
0.030275
0.097107
0.080631
0.029115
0.036085
0.064552
0.125821
0.032085
0.053519
0.029707
0.029187
0.079272
0.117148
0.064482
0.058618
0.049219
0.031329
0.034787
0.037943
0.037236
0.031415
0.099094
0.043214
0.103597
0.077116
0.032122
0.186047
0.047863
0.028889
0.031237
0.029475
0.064434
0.045851
0.053126
0.120576
0.068508
0.038959
0.045013
0.054871
0.060847
0.021343
0.116825
0.065850
0.051222
0.027165
0.036281
0.071758
0.046502
0.072756
0.002063
0.035049
0.086221
0.070813
0.041521
0.045267
0.040664
0.041439
0.034707
0.086210
0.067862
