sacc_hor_dur
-62.756000
0.072000
0.228000
0.228000
0.228000
0.176000
0.176000
0.144000
0.144000
0.168000
0.024000
-0.020000
0.268000
0.268000
0.268000
0.268000
0.120000
0.152000
0.152000
0.152000
0.072000
0.056000
0.040000
0.100000
0.104000
0.104000
0.244000
0.244000
0.108000
0.084000
0.048000
0.052000
0.084000
0.084000
0.084000
0.116000
0.024000
0.096000
0.096000
0.108000
0.108000
0.136000
0.136000
0.040000
0.144000
0.144000
0.144000
0.108000
0.108000
0.108000
0.116000
0.036000
0.032000
0.148000
0.148000
0.148000
0.128000
0.128000
0.052000
0.040000
0.040000
0.040000
0.032000
0.072000
0.044000
0.052000
0.076000
0.108000
0.068000
0.068000
0.064000
0.064000
0.136000
0.136000
0.136000
0.104000
0.120000
0.056000
0.056000
0.068000
0.168000
0.168000
0.068000
0.052000
0.052000
0.048000
0.044000
0.044000
0.068000
0.068000
0.048000
0.088000
0.064000
0.044000
0.048000
0.056000
0.140000
0.040000
0.088000
0.088000
0.052000
0.068000
0.076000
0.052000
0.164000
0.164000
0.164000
0.164000
0.164000
0.164000
0.088000
0.088000
0.040000
0.036000
0.096000
0.056000
0.052000
0.052000
0.056000
0.036000
0.096000
0.060000
0.072000
0.072000
0.056000
0.072000
0.072000
0.036000
0.088000
0.040000
0.048000
0.064000
0.044000
0.036000
0.052000
0.056000
0.064000
0.060000
0.064000
0.076000
0.076000
0.040000
0.060000
0.088000
0.088000
0.088000
0.048000
0.044000
0.052000
0.056000
0.028000
0.104000
0.084000
0.084000
0.036000
0.048000
0.064000
0.060000
0.040000
0.040000
0.036000
0.048000
0.060000
