sacc_concat_dur
0.048000
0.080000
0.176000
0.040000
0.268000
0.344000
0.096000
0.204000
0.484000
0.052000
0.236000
0.244000
0.184000
0.108000
0.116000
0.216000
0.048000
0.052000
0.040000
0.040000
0.072000
0.072000
0.044000
0.092000
0.064000
0.108000
0.068000
0.064000
0.144000
0.152000
0.056000
0.068000
0.088000
0.068000
0.052000
0.040000
0.052000
0.048000
0.044000
0.044000
0.076000
0.044000
0.068000
0.048000
0.040000
0.088000
0.076000
0.048000
0.056000
0.140000
0.128000
0.052000
0.144000
0.048000
0.052000
0.144000
0.096000
0.056000
0.044000
0.040000
0.044000
0.036000
0.096000
0.056000
0.052000
0.088000
0.096000
0.036000
0.096000
0.052000
0.052000
0.068000
0.156000
0.072000
0.100000
0.040000
0.048000
0.064000
0.044000
0.088000
0.040000
0.064000
0.044000
0.140000
0.060000
0.048000
0.088000
0.088000
0.048000
0.044000
0.052000
0.056000
0.188000
0.084000
0.064000
0.060000
0.128000
0.076000
0.048000
0.060000
