sacc_concat_amp
15.000000
11.000000
11.000000
14.000000
12.000000
12.000000
14.000000
15.000000
14.000000
15.000000
13.000000
13.000000
13.000000
12.000000
12.000000
11.000000
12.000000
12.000000
14.000000
12.000000
13.000000
12.000000
26.000000
11.000000
13.000000
12.000000
9.000000
13.000000
23.000000
15.000000
11.000000
11.000000
12.000000
13.000000
11.000000
15.000000
14.000000
12.000000
14.000000
12.000000
13.000000
13.000000
17.000000
14.000000
14.000000
15.000000
12.000000
14.000000
12.000000
13.000000
13.000000
14.000000
15.000000
13.000000
28.000000
12.000000
12.000000
13.000000
33.000000
12.000000
12.000000
12.000000
37.000000
12.000000
