fix_hor_dur
5.780000
0.300000
4.764000
0.376000
0.564000
0.148000
0.364000
0.312000
0.404000
0.524000
8.356000
0.224000
0.208000
0.100000
0.312000
0.268000
1.104000
0.736000
0.488000
1.180000
0.156000
0.280000
3.268000
0.376000
1.860000
2.184000
2.496000
0.964000
7.260000
0.052000
0.188000
0.164000
1.808000
4.792000
0.124000
0.164000
0.204000
0.872000
0.380000
0.312000
0.120000
0.268000
0.116000
2.828000
3.664000
0.240000
0.216000
0.036000
0.208000
0.452000
0.828000
0.280000
0.468000
0.380000
0.536000
0.412000
