fix_hor_dur
1.396000
0.252000
0.264000
0.336000
2.208000
0.556000
0.664000
0.556000
2.456000
2.616000
1.404000
0.272000
2.552000
5.180000
0.624000
0.488000
0.132000
7.192000
0.344000
3.724000
0.996000
1.336000
0.940000
0.340000
0.256000
0.152000
0.276000
1.008000
1.052000
4.560000
1.176000
0.388000
5.588000
2.284000
0.164000
0.284000
0.136000
1.396000
0.800000
0.160000
0.492000
0.772000
0.540000
0.116000
0.312000
0.456000
0.236000
0.720000
0.272000
0.272000
0.312000
2.608000
