sacc_concat_dur
0.196000
0.092000
0.096000
0.064000
0.036000
0.060000
0.056000
0.076000
0.048000
0.052000
0.052000
0.056000
0.044000
0.048000
0.036000
0.040000
0.084000
0.036000
0.064000
0.048000
0.084000
0.064000
0.048000
0.064000
0.036000
0.160000
0.052000
0.044000
0.040000
0.148000
0.072000
0.048000
0.036000
0.056000
0.072000
0.052000
0.136000
0.096000
0.064000
0.060000
0.052000
0.088000
0.044000
0.036000
0.040000
0.060000
0.084000
0.056000
0.096000
