blinks_amp
0.671135
0.328730
0.355246
0.378038
0.396814
0.404040
0.428445
0.456380
0.333897
0.373014
0.337114
0.470979
0.461719
0.442541
0.510017
0.474909
0.433567
0.372078
0.485963
0.504889
0.458641
0.534562
0.429404
