blinks_amp
0.202376
0.240814
0.200306
0.196755
0.224207
0.256080
0.201093
0.165620
0.229639
0.266765
0.235934
0.281519
0.241733
0.176117
0.189777
0.279078
0.271396
0.309459
0.249508
