sacc_hor_amp
0.049896
0.107430
0.136548
0.156585
0.081561
0.048887
0.118536
0.063307
0.064695
0.176978
0.044732
0.141967
0.141967
0.048432
0.043989
0.041934
0.139782
0.066346
0.075594
0.073003
0.051323
0.035774
0.065223
0.087215
0.061790
0.039418
0.062829
0.105881
0.112771
0.041496
0.057294
0.133790
0.045918
0.038523
0.078177
0.076680
0.061284
0.134030
0.173503
0.136191
0.136191
0.076128
0.035413
0.108650
0.069667
0.078139
0.102737
0.102737
0.128858
0.067860
0.071750
0.064908
0.075305
0.073859
0.073528
