blinks_dur
0.328000
0.188000
0.280000
0.404000
0.292000
0.412000
0.428000
0.448000
0.388000
0.296000
0.344000
0.336000
0.504000
0.400000
0.396000
0.424000
0.336000
0.156000
0.344000
0.220000
0.348000
0.528000
0.360000
0.324000
0.360000
0.164000
0.340000
0.464000
0.388000
0.332000
0.296000
0.336000
0.360000
0.396000
0.288000
0.316000
0.216000
0.000000
