fix_ver_dur
0.584000
0.304000
0.220000
0.852000
0.192000
2.772000
4.884000
2.540000
1.576000
0.032000
0.020000
0.080000
0.116000
0.016000
0.116000
0.068000
0.296000
1.008000
0.912000
2.384000
3.596000
0.480000
0.112000
1.176000
0.176000
0.080000
0.088000
2.308000
0.312000
4.332000
2.292000
0.784000
0.880000
0.192000
2.496000
1.076000
2.756000
9.700000
2.472000
3.196000
3.060000
0.436000
